Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0019535,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,commentaire,ouvert,Support,2020-08-18,2020-08-28,public,Modifier l'adresse d'une association,"Bonjour,

Afin de modifier l'adresse d'une association pour les modèles de document etc.. Est-ce qu'il faut simplement changer les informations sur la division ?

Merci pour votre retour",
0019593,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,commentaire,ouvert,Evolution,2020-08-27,2020-08-28,public,Affichage des adresses mails dans liste de comm,"Bonjour,
Est-il possible de rendre visible les adresses mails des membres qui sont présent une liste de communication ? voir PJ

J'ai la possibilité de voir les adresses mails mais seulement en activant le ""God mod"" via le plugin Dynamics.

Merci pour votre retour",
0019428,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,urgente,majeur,impossible à reproduire,commentaire,réouvert,Support,2020-07-29,2020-08-26,public,problèmes passerelles,"Nathalie, je crée un ticket au vue de l'urgence de la situation.

Il s’agit de toutes les données au niveau national entre le 17/07 et le 27/07 ( ex : Engagement de prêt, Remboursement, échéancier, …) . 

Est il possible qu’il n’y est pas eu d’opérations de ce fait il n’y pas d’erreur, en revanche le traitement des données via les passerelles entre le 17/07 et le 27/07 n’a pas eu lieu ? 

L’urgence est surtout pour RE_Limousin et RE_Bretagne. 
J’ai l’impression qu’elles sont de nouveau rebloquées et nous voyons bien qu’il manque les importations du 17 au 27 cf capture. ",35
0019033,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,élevée,majeur,S/O,accepté,résolu,Support,2020-04-07,2020-08-25,public,Problème de génération modèle Word sur convention,"Lorsqu'elle va générer le modèle word sur sa convention ( 02 - Booster avec PH )
Dans le plan d'accompagnement, le montant du PH Réseau Entreprendre est à 180 000€ au lieu de 70 000€.

convention ( 02 - Booster avec PH ) : Voir pièce jointe n1
(vérifié avec le modèle 01-Création- Convention Accompagnement et PH) : Voir pièce jointe n2

Elle souhaite s'assurer qu'il n'y ait pas de soucis de ce type pour les conventions booster/création/reprise etc..",2.5
0019227,C2S - RESEAU ENTREPRENDRE,LHAMMEL,nchatainier,urgente,bloquant,toujours,résolu,résolu,Support,2020-06-11,2020-08-21,public,Problème avec l'export de la passerelle,"Bonjour, 

Il y a un problème avec l'export pour la passerelle SIGMA -SAGE: 
Pour les adhésions au titre de l'entreprise, le code tiers de la personne et le code tiers de l'entreprise sont repris ensemble dans le CSV, il faut que seul le code tiers de l'entreprise soit prit, sinon cela bloque ensuite les imports dans SAGE, le logiciel retrouvant un code tiers inexistant. ",10
0018970,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,majeur,n'a pas essayé,résolu,résolu,Support,2020-03-25,2020-08-21,public,vérification risque LCBFT n'est pas bloquante (0001213),"Bonjour,

Vu en recette: il est actuellement possible de dérouler le parcours projet du début à la fin sans exécuter le contrôle LCBFT.

La non-exécution de ce contrôle est censée être totalement bloquante (c'était au cahier des charges pour cet API) et empêcher le parcours projet de se poursuivre au delà de l'étape 2. Egalement, si le champ ""contrôle LCBFT"" est vide ou a les valeurs A vérifier ou Risque avéré, le passage à l'étape 3 doit être bloqué.

Testé avec la personne John SMITH et son projet associé.

Merci !
Audrey",7
0018976,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2020-03-25,2020-08-21,public,"LCBFT : absence de filtre du rapport de recherche sur les statuts OOL, SI, SAN (0001089)","conformément à l'expression de besoins, seuls les résultats de recherche des catégories OOL, SI et SAN doivent être pris en compte dans l'évaluation du risque et dans la liste du pdf résultat de recherche.
ce n'est aujourd'hui pas le cas, cf le PDF ci-joint
l'association s'embêtait à chercher comment distinguer son lauréat d'un homonyme de la catégorie PEP qui ne pose pas de problème en matière de LCBFT",3
0019409,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,commentaire,ouvert,Evolution,2020-07-22,2020-08-21,public,Créer un répertoire Sharepoint pour Le Réseau Entreprendre Loire Vallée,"Bonjour,
Je ne sais pas si Louis Hammel vous a déjà fait la demande auparavant mais depuis la création du Réseau Entreprendre Loire Vallée, il n'y a pas de répertoire Sharepoint de lié à cette association dans SIGMA. Il n'y a pas d'emplacement défini pour eux lors de la gestion d'un projet par exemple, dans la partie Document.

Pouvez-vous gérer cette création ?

Merci pour votre retour

LEMOINE François",1
0019060,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,fonctionnalité,S/O,résolu,résolu,Evolution,2020-04-16,2020-08-21,public,Devise de la Cotisation estimée / Module prospect,"Bonjour, dans le module prospect la cotisation estimée est en € par défaut. Il faudrait que chaque pays puisse choisir sa devise.",2
0019193,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,commentaire,ouvert,Evolution,2020-05-29,2020-08-21,public,Devise Plan de Financement,"Bonjour,

Nous avons reçu cette demande de Dominique DA SILVA :

Merci d'adapter le plan de financement dans Sigma dans la devise du pays. Aujourd'hui le plan de financement est en €uros par défaut.",0.5
